name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sari Falah,hapoel-haifa,maccabi-haifa,hapoel-tel-aviv,bnei-yehuda-tel-aviv,ihud-bnei-sachnin,ihud-bnei-sachnin,ihud-bnei-sachnin,ihud-bnei-sachnin,ihud-bnei-sachnin,,
Elad Gabai,ironi-kiryat-shmona,maccabi-haifa,maccabi-haifa,beitar-jerusalem,,,,,,,
Raz Meir,,maccabi-haifa,,bnei-yehuda-tel-aviv,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa
Ran Abukarat,hapoel-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,,,,,,,
Eran Biton,,maccabi-haifa,,maccabi-haifa,,,,,,,
Dor Hugi,,maccabi-haifa,,,,hapoel-tel-aviv,,,,,ihud-bnei-sachnin
Sintayehu Sallalich,ironi-kiryat-shmona,maccabi-haifa,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,hapoel-beer-sheva,,
Shimon Abuhatzira,ironi-kiryat-shmona,maccabi-haifa,maccabi-haifa,maccabi-haifa,beitar-jerusalem,,ironi-kiryat-shmona,,,,
Tal Bomshtein,,maccabi-haifa,,,,,,,,hapoel-haifa,
Yuval Yosipovich,,maccabi-haifa,,maccabi-haifa,maccabi-haifa,,,,,,
Yaniv Brik,,maccabi-haifa,,,maccabi-haifa,,maccabi-netanya,,sektzia-ness-ziona,maccabi-bnei-reineh,maccabi-bnei-reineh
Rayo,,maccabi-haifa,maccabi-haifa,,,,,,,,
Alex Zahavi,,maccabi-haifa,,,,,,,,,
Tamás Priskin,,maccabi-haifa,,,,,,,,,
Shon Weissman,,maccabi-haifa,maccabi-haifa,,maccabi-haifa,maccabi-haifa,maccabi-haifa,,,,
Vladimir Stojkovic,,,maccabi-haifa,maccabi-haifa,,,,,,,
Ohad Levita,,maccabi-netanya,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,hapoel-beer-sheva,hapoel-beer-sheva,hapoel-beer-sheva,hapoel-haifa,hapoel-haifa
Abraham Paz,,ihud-bnei-sachnin,maccabi-haifa,ihud-bnei-sachnin,ihud-bnei-sachnin,ihud-bnei-sachnin,,,,,
Medo,,,maccabi-haifa,,,,,,,,
Kobi Moyal,beitar-jerusalem,,maccabi-haifa,maccabi-haifa,beitar-jerusalem,,hapoel-jerusalem,,,,
Neta Lavi,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,
Itay Shechter,,hapoel-tel-aviv,maccabi-haifa,maccabi-haifa,beitar-jerusalem,beitar-jerusalem,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,hapoel-beer-sheva,hapoel-beer-sheva
Mohamadou Idrissou,,,maccabi-haifa,,,,,,,,
Matan Ohayon,,ironi-kiryat-shmona,maccabi-haifa,hapoel-beer-sheva,hapoel-beer-sheva,hapoel-beer-sheva,hapoel-beer-sheva,,,,
Alaa Jafer,,,maccabi-haifa,,,,,,sektzia-ness-ziona,ironi-kiryat-shmona,bnei-yehuda-tel-aviv
Míchel Madera,,,maccabi-haifa,,,,,,,,
Eliran Atar,maccabi-tel-aviv,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,beitar-jerusalem,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv
Yossi Benayoun,,,maccabi-haifa,maccabi-haifa,maccabi-tel-aviv,beitar-jerusalem,beitar-jerusalem,,,,
Mohammed Kalibat,ihud-bnei-sachnin,ihud-bnei-sachnin,maccabi-haifa,,,ihud-bnei-sachnin,ihud-bnei-sachnin,,,,
Hen Azriel,beitar-jerusalem,bnei-yehuda-tel-aviv,maccabi-haifa,fc-ashdod,fc-ashdod,fc-ashdod,fc-ashdod,,,,
Gil Ofek,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,,,
Shay Ben David,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,,maccabi-haifa,,fc-ashdod,
Nikola Drincic,,,,maccabi-haifa,,,,,,,
Ofir Kriaf,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem,maccabi-haifa,ironi-kiryat-shmona,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem,beitar-jerusalem
Romário Pires,,,maccabi-netanya,maccabi-haifa,,,,,,,
Ludovic Obraniak,,,,maccabi-haifa,maccabi-haifa,,,,,,
Glynor Plet,,hapoel-beer-sheva,,maccabi-haifa,maccabi-haifa,,,,,,
Marc Valiente,,,,maccabi-haifa,maccabi-haifa,,,,,,
Ofri Arad,,,,maccabi-haifa,maccabi-haifa,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,
Yonatan Levi,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,hapoel-hadera,maccabi-haifa,,,
Sun Menahem,,,,maccabi-haifa,maccabi-haifa,ironi-kiryat-shmona,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa
Gil Vermouth,hapoel-tel-aviv,hapoel-tel-aviv,maccabi-tel-aviv,maccabi-haifa,maccabi-haifa,maccabi-haifa,hapoel-haifa,hapoel-haifa,,,
Shahar Hirsh,,,,maccabi-haifa,hapoel-tel-aviv,hapoel-tel-aviv,hapoel-tel-aviv,hapoel-tel-aviv,hapoel-tel-aviv,,
Hólmar Örn Eyjólfsson,,,,,maccabi-haifa,,,,,,
Mario Musa,,,,,maccabi-haifa,,,,,,
Yahav Gurfinkel,,,,,maccabi-haifa,,hapoel-hadera,hapoel-hadera,maccabi-haifa,,hapoel-tel-aviv
Enis Alushi,,,,,maccabi-haifa,,,,,,
Mohammed Abu Fani,,,,,maccabi-haifa,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa
Omer Damari,hapoel-tel-aviv,hapoel-tel-aviv,,,maccabi-haifa,maccabi-haifa,hapoel-tel-aviv,hapoel-tel-aviv,,,
Fitim Azemi,,,,,maccabi-haifa,,,,,,
Omri Glazer,,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,hapoel-beer-sheva,hapoel-beer-sheva
Gary Kagelmacher,,,,,maccabi-haifa,,,,,,
Iyad Abu Abaid,,,maccabi-netanya,hapoel-tel-aviv,maccabi-haifa,ironi-kiryat-shmona,ironi-kiryat-shmona,hapoel-tel-aviv,hapoel-tel-aviv,hapoel-beer-sheva,hapoel-beer-sheva
Eitan Velblum,,,,,maccabi-haifa,,,bnei-yehuda-tel-aviv,,bnei-yehuda-tel-aviv,
Kamil Vacek,,,,,maccabi-haifa,,,,,,
Roi Kehat,hapoel-beer-sheva,ironi-kiryat-shmona,ironi-kiryat-shmona,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-netanya,ironi-kiryat-shmona,ironi-kiryat-shmona,ironi-kiryat-shmona
Firas Mugrabi,maccabi-netanya,ihud-bnei-sachnin,ihud-bnei-sachnin,ihud-bnei-sachnin,maccabi-haifa,ihud-bnei-sachnin,ihud-bnei-sachnin,ihud-bnei-sachnin,,,
Amit Zenati,,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv,maccabi-bnei-reineh
Nikita Rukavytsya,,,,beitar-jerusalem,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,hapoel-beer-sheva,maccabi-haifa
Mohammad Awwad,,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,,ihud-bnei-sachnin
Etiënne Reijnen,,,,,,maccabi-haifa,maccabi-haifa,,,,
Allyson,,,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,bnei-yehuda-tel-aviv,,
Ernest Mabouka,,,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,,
Gal Alberman,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-haifa,maccabi-haifa,,,,
Maor Buzaglo,,hapoel-beer-sheva,hapoel-beer-sheva,hapoel-beer-sheva,hapoel-beer-sheva,maccabi-haifa,beitar-jerusalem,hapoel-tel-aviv,,,
Stefanos Athanasiadis,,,,,,maccabi-haifa,,,,,
Rami Gershon,,,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa
Omri Ben Harush,maccabi-netanya,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-tel-aviv,maccabi-haifa,,,fc-ashdod,ihud-bnei-sachnin,sektzia-ness-ziona
Georgi Kostadinov,,,,,,maccabi-haifa,,,,,
Caio,,,,,,maccabi-haifa,hapoel-tel-aviv,,,,
Ofir Mizrahi,ironi-kiryat-shmona,ironi-kiryat-shmona,ironi-kiryat-shmona,ironi-kiryat-shmona,,maccabi-haifa,maccabi-haifa,hapoel-haifa,ironi-kiryat-shmona,,
Guy Haimov,,ironi-kiryat-shmona,ironi-kiryat-shmona,ironi-kiryat-shmona,hapoel-beer-sheva,hapoel-beer-sheva,maccabi-haifa,maccabi-haifa,,,
Kerim Frei,,,,,,,maccabi-haifa,,,,
Yarden Shua,,,,,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv,maccabi-haifa,maccabi-haifa,maccabi-haifa,beitar-jerusalem,beitar-jerusalem
Georges Mandjeck,,,,,,,maccabi-haifa,,,,
Manuel Iturra,,,,,,,maccabi-haifa,,,,
Maxim Plakushchenko,,,hapoel-haifa,hapoel-haifa,hapoel-haifa,hapoel-haifa,maccabi-haifa,maccabi-haifa,hapoel-hadera,hapoel-hadera,
Seydouba Soumah,,,,,,,maccabi-haifa,,,,
Michiel Kramer,,,,,,,maccabi-haifa,,,,
Josh Cohen,,,,,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa
Trent Sainsbury,,,,,,,,maccabi-haifa,,,
Lillo Castellano,,,,,,,,maccabi-haifa,,,
Maor Levi,,,,,,,,maccabi-haifa,maccabi-haifa,maccabi-haifa,
Ibrahim Goabara,,,,,,,,maccabi-haifa,sektzia-ness-ziona,,
Dolev Haziza,,,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv,maccabi-haifa,maccabi-haifa,maccabi-haifa,maccabi-haifa
Gil Itzhak,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv,bnei-yehuda-tel-aviv,,,,maccabi-haifa,hapoel-tel-aviv,,
Joe Kuzminsky,,,,,,,,maccabi-haifa,,,
Sharif Kaiuf,,,,,,,,maccabi-haifa,maccabi-haifa,,maccabi-haifa
